,subject_id,academic_over_social,age,anxious,bookish,books_over_parties,calm,collect_books,conventional,critical,dependable,diagnosed_autistic,disorganized,education,engnat,enjoy_learning,excited_about_research,extraverted,familysize,gender,hand,hobbies_over_people,in_advanced_classes,intelligence_over_appearance,interested_science,introspective,libraries_over_publicspace,like_dry_topics,like_hard_material,like_science_fiction,like_superheroes,major,married,online_over_inperson,opennness,play_many_videogames,playes_rpgs,prefer_fictional_people,race_arab,race_asian,race_black,race_hispanic,race_native_american,race_native_austrailian,race_nerdy,race_white,read_tech_reports,religion,reserved,socially_awkward,strange_person,sympathetic,urban,voted,was_odd_child,watch_science_shows,writing_novel
1183,1183,1.0,22.0,3.0,3.0,3.0,3.0,4.0,6.0,2.0,1.0,2.0,6.0,2.0,2.0,3.0,5.0,2.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,1.0,5.0,3.0,unknown,1.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,6.0,4.0,4.0,4.0,3.0,1.0,3.0,2.0,4.0
1184,1184,5.0,,5.0,5.0,5.0,6.0,3.0,2.0,5.0,7.0,2.0,1.0,,,5.0,5.0,1.0,,,,1.0,1.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,,,5.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,7.0,5.0,5.0,5.0,,,5.0,5.0,1.0
1185,1185,4.0,33.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,7.0,3.0,1.0,1.0,5.0,6.0,4.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,4.0,Physics,2.0,1.0,7.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,5.0,5.0,6.0,1.0,2.0,2.0,5.0,4.0
1186,1186,4.0,22.0,4.0,5.0,5.0,0.0,4.0,0.0,5.0,6.0,2.0,0.0,2.0,1.0,5.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,English/History,1.0,4.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,4.0,4.0,0.0,2.0,2.0,4.0,4.0,1.0
1187,1187,5.0,52.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,6.0,2.0,3.0,3.0,1.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,English,2.0,5.0,6.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,7.0,5.0,5.0,7.0,2.0,2.0,4.0,5.0,2.0
1188,1188,4.0,,4.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,2.0,5.0,,,3.0,3.0,2.0,,,,2.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,,,5.0,6.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,6.0,5.0,4.0,4.0,,,5.0,5.0,2.0
1189,1189,5.0,35.0,2.0,4.0,5.0,7.0,5.0,3.0,1.0,6.0,2.0,2.0,4.0,1.0,5.0,5.0,6.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,Philosophy,3.0,4.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,5.0,5.0,4.0,6.0,1.0,2.0,3.0,4.0,1.0
1190,1190,5.0,45.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,6.0,2.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,mba,2.0,4.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,7.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0,4.0
1191,1191,5.0,,1.0,5.0,5.0,7.0,5.0,2.0,7.0,5.0,2.0,5.0,,,1.0,5.0,6.0,,,,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,,,3.0,7.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,3.0,5.0,5.0,5.0,,,5.0,5.0,4.0
1192,1192,5.0,,2.0,5.0,5.0,7.0,5.0,3.0,5.0,7.0,2.0,3.0,,,5.0,5.0,3.0,,,,2.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,,,3.0,5.0,5.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,,6.0,5.0,3.0,3.0,,,5.0,4.0,5.0
